Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults
1747070927.232606,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3115.75,128756582.625,0.0,1373188
1747070927.740213,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3112.875,128339621.9375,16.8,1373320
1747070928.246015,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3112.875,128339625.171875,0.0,1373320
1747070928.749991,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3122.703125,128339633.96875,26.4,1373446
1747070929.267931,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3122.265625,128339633.625,27.4,1373446
1747070929.770522,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3083.71875,128756598.671875,17.7,1373664
1747070930.276625,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3097.671875,128756598.671875,0.0,1373664
1747070930.779666,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3070.359375,128756598.796875,14.4,1374231
1747070931.283595,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3102.34375,128756603.859375,26.4,1374231
1747070931.7867289,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3099.796875,128756599.609375,17.2,1374267
1747070932.2915142,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3100.875,128756599.609375,18.6,1374267
1747070932.7971241,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3090.125,128756599.796875,14.6,1374288
1747070933.30266,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3105.25,128756600.609375,0.0,1374288
1747070933.808384,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3105.890625,128756592.0625,21.6,1374378
1747070934.310053,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3108.0625,128756592.0625,0.0,1374378
1747070934.816254,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3108.375,128756590.421875,12.1,1374576
1747070935.3216782,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3109.46875,128756591.046875,0.0,1374576
1747070935.827776,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3109.46875,128756591.546875,0.0,1374577
1747070936.3332329,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3113.28125,128756605.4375,21.5,1374577
1747070936.838822,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3100.453125,128756595.78125,0.0,1374623
1747070937.344477,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3073.34375,128756594.1875,33.3,1374623
1747070937.848198,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3099.65625,128756461.875,0.0,1374624
1747070938.353468,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3063.4375,128756459.703125,19.6,1374624
1747070938.8576372,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3063.4375,128756461.921875,0.0,1374740
1747070939.3649669,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3106.984375,128756460.28125,16.3,1374740
1747070939.8695931,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3073.578125,128756459.859375,29.8,1374770
1747070940.373764,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3093.015625,128756460.328125,11.9,1374770
